"lifetime" "gender" "smoker"
"1" 95.7056621348411 "Female" "Non-smoker"
"2" 94.0077923851199 "Female" "Non-smoker"
"3" 94.0651285280637 "Female" "Non-smoker"
"4" 88.0929630247119 "Female" "Non-smoker"
"5" 94.4873718661584 "Female" "Non-smoker"
"6" 95.4208346753097 "Female" "Non-smoker"
"7" 90.5077200333047 "Female" "Non-smoker"
"8" 91.9694347428459 "Female" "Non-smoker"
"9" 92.1545731851427 "Female" "Non-smoker"
"10" 93.5181133482947 "Female" "Non-smoker"
"11" 94.4789776160883 "Female" "Non-smoker"
"12" 93.780203659878 "Female" "Non-smoker"
"13" 100.536908791421 "Female" "Non-smoker"
"14" 96.1821623299235 "Female" "Non-smoker"
"15" 97.3925855037845 "Female" "Non-smoker"
"16" 90.3000039194433 "Female" "Non-smoker"
"17" 94.7424469735322 "Female" "Non-smoker"
"18" 93.9225815562866 "Female" "Non-smoker"
"19" 91.4191731003088 "Female" "Non-smoker"
"20" 96.0925602110667 "Female" "Non-smoker"
"21" 96.0849873547648 "Female" "Non-smoker"
"22" 96.0408931103407 "Female" "Non-smoker"
"23" 95.5692095800678 "Female" "Non-smoker"
"24" 94.5212695833837 "Female" "Non-smoker"
"25" 95.9796477152956 "Female" "Non-smoker"
"26" 96.7947626071805 "Female" "Non-smoker"
"27" 89.4753970998127 "Female" "Non-smoker"
"28" 103.154166798625 "Female" "Non-smoker"
"29" 95.5737331713719 "Female" "Non-smoker"
"30" 91.096111804165 "Female" "Non-smoker"
"31" 85.6603480961146 "Female" "Non-smoker"
"32" 92.175927814162 "Female" "Non-smoker"
"33" 99.2007763450021 "Female" "Non-smoker"
"34" 90.1385899149528 "Female" "Non-smoker"
"35" 88.202012128682 "Female" "Non-smoker"
"36" 98.4889807675419 "Female" "Non-smoker"
"37" 94.6515348779105 "Female" "Non-smoker"
"38" 96.0027680281243 "Female" "Non-smoker"
"39" 93.1374256808926 "Female" "Non-smoker"
"40" 91.0704652745574 "Female" "Non-smoker"
"41" 91.472821874885 "Female" "Non-smoker"
"42" 91.6363534015586 "Female" "Non-smoker"
"43" 90.9142865490356 "Female" "Non-smoker"
"44" 96.4433737354061 "Female" "Non-smoker"
"45" 97.2259148765987 "Female" "Non-smoker"
"46" 95.083473875646 "Female" "Non-smoker"
"47" 95.9941391324553 "Female" "Non-smoker"
"48" 96.9323423959741 "Female" "Non-smoker"
"49" 102.456984684314 "Female" "Non-smoker"
"50" 100.879945123089 "Female" "Non-smoker"
"51" 95.5749901546759 "Female" "Non-smoker"
"52" 99.6576328163155 "Female" "Non-smoker"
"53" 97.7427268606691 "Female" "Non-smoker"
"54" 96.0758761244042 "Female" "Non-smoker"
"55" 95.5252869082725 "Female" "Non-smoker"
"56" 92.4581966931381 "Female" "Non-smoker"
"57" 97.9346949722026 "Female" "Non-smoker"
